;name;country;base
0;Alfa Romeo;Италия;Милан, Италия
1;Alfa Romeo F1 Team;Швейцария;Хинвил, Швейцария
2;AlphaTauri;Италия;Фаэнца, Италия
3;Alpine;Франция;Энстоун, Великобритания
4;Arrows;Великобритания;Лифилд, Великобритания
5;Aston Martin;Великобритания;Сильверстоун, Великобритания
6;BAR;Великобритания;Брэкли, Великобритания
7;Benetton;Италия;Энстон, Великобритания
8;BMW;Германия;Мюнхен, Германия
9;Brabham;Великобритания;Милтон-Кинс, Великобритания
10;Brawn GP;Великобритания;Брэкли, Великобритания
11;BRM;Великобритания;Бурн, Великобритания
12;Caterham;Малайзия;Лифилд, Великобритания
13;Cooper;Великобритания;Сурбитон, Великобритания
14;Eagle;США;Санта-Ана, Калифорния, США
15;Ferrari;Италия;Маранелло, Италия
16;Force India;Индия;Сильверстоун, Великобритания
17;Haas;США;Каннаполис, США
18;Hesketh;Великобритания;Великобритания
19;Honda;Япония;Брэкли, Великобритания
20;HRT;Испания;Мадрид, Испания
21;Jaguar;Великобритания;Милтон-Кинс, Великобритания
22;Jordan;Ирландия;Сильверстоун, Великобритания
23;Ligier;Франция;Маньи-Кур, Франция
24;Lotus;Великобритания;Энстоун, Великобритания
25;Manor;Великобритания;Диннингтон, Великобритания
26;March;Великобритания;Ньютаунардс, Великобритания
27;Marussia;Великобритания;Сильверстоун, Великобритания
28;Maserati;Италия;Модена, Италия
29;Matra;Франция;Париж, Франция
30;McLaren;Великобритания;Уокинг, Великобритания
31;Mercedes;Германия;Брэкли, Великобритания
32;Minardi;Италия;Фаенца, Италия
33;Penske;США;Пул, Великобритания
34;Porsche;Германия;Штутгарт, Германия
35;Prost;Франция;Париж, Франция
36;Racing Point;Великобритания;Сильверстоун, Великобритания
37;Red Bull;Австрия;Милтон-Кинс, Великобритания
38;Renault;Франция;Энстоун, Великобритания
39;Sauber;Швейцария;Хинвил, Швейцария
40;Shadow;Великобритания;Нортгемптон, Великобритания
41;Stewart;Великобритания;Милтон-Кинс, Великобритания
42;Super Aguri;Япония;Лифилд, Великобритания
43;Toro Rosso;Италия;Фаэнца, Италия
44;Toyota;Япония;Кёльн, Германия
45;Tyrrell;Великобритания;Окхам, Великобритания
46;Vanwall;Великобритания;Лондон, Великобритания
47;Virgin;Великобритания;Шеффилд, Великобритания
48;Williams;Великобритания;Гроув, Великобритания
49;Wolf;Канада;Ридинг, Великобритания
