;name;country;town
0;А1-Ринг;Австрия;Шпильберг
1;Аделаида;Австралия;Аделаида
2;Аида;Япония;Аида
3;Айн-Диаб;Марокко;Касабланка
4;Алгарве (Портимао);Португалия;Портиман
5;Альберт-Парк;Австралия;Мельбурн
6;Андерсторп;Швеция;Андерсторп
7;АФУС;Германия;Берлин
8;Баку;Азербайджан;Баку
9;Боавишта;Португалия;Порту
10;Бремгартен;Швейцария;Бремгартен
11;Брэндс-Хэтч;Великобритания;Брэндс-Хэтч
12;Бугатти;Франция;Ле-Ман
13;Будда;Индия;Дели
14;Буэнос-Айрес;Аргентина;Буэнос-Айрес
15;Валенсия;Испания;Валенсия
16;Даллас;США;Даллас
17;Детройт;США;Детройт
18;Джидда;Саудовская Аравия;Джидда
19;Дижон-Пренуа;Франция;Дижон
20;Донингтон-Парк;Великобритания;Касл Донингтон
21;Жакарепагуа;Бразилия;Рио-де-Жанейро
22;Зандворт;Нидерланды;Зандворт
23;Золдер;Бельгия;Хёсден-Золдер
24;Имола;Италия;Имола
25;Индианаполис;США;Индианаполис
26;Интерлагос;Бразилия;Сан-Паулу
27;Ист-Лондон;Южная Африка;Порт-Элизабет
28;Истанбул Парк;Турция;Стамбул
29;Йонам;Республика Корея;Йонам
30;Каталунья;Испания;Монмело
31;Клермон-Ферран;Франция;Клермон-Ферран
32;Кьялами;Южная Африка;Мидранд
33;Лас-Вегас;США;Лас-Вегас
34;Лонг-Бич;США;Лонг-Бич
35;Магдалена Миксука;Мексика;Мехико
36;Маньи-Кур;Франция;Маньи-Кур
37;Марина Бей;Сингапур;Сингапур
38;Международный автодром Лосаль;Катар;Доха
39;Международный автодром Майами;США;Майами
40;Мон-Трамблан;Канада;Мон-Трамблан
41;Монжуик-Парк;Испания;Барселона
42;Монреаль;Канада;Монреаль
43;Монсанто-Парк;Португалия;Монсанто-Парк
44;Монте-Карло;Монако;Монте-Карло
45;Монца;Италия;Монца
46;Моспорт-Парк;Канада;Бауманвиль
47;Муджелло;Италия;Скарперия-э-Сан-Пьеро
48;Нивель-Болёр;Бельгия;Нивель
49;Нюрбургринг;Германия;Нюрбург
50;Остеррайхринг;Австрия;Шпильберг
51;Педральбес;Испания;Барселона
52;Пескара;Италия;Пескара
53;Поль Рикар;Франция;Ле-Кастелле
54;Ред Булл Ринг;Австрия;Шпильберг
55;Реймс-Гу;Франция;Реймс
56;Риверсайд;США;Риверсайд
57;Руан;Франция;Руан
58;Сахир;Бахрейн;Сахир
59;Себринг;США;Себринг
60;Сепанг;Малайзия;Сепанг
61;Сильверстоун;Великобритания;Сильверстоун
62;Сочи Автодром;Российская Федерация;Сочи
63;Спа-Франкоршам;Бельгия;Спа
64;Судзука;Япония;Судзука
65;Трасса Америк;США;Остин
66;Уоткинс-Глен;США;Уоткинс-Глен
67;Финикс;США;Финикс
68;Фудзи;Япония;Фудзи
69;Ханой;Вьетнам;Ханой
70;Харама;Испания;Мадрид
71;Херес;Испания;Херес-де-ла-Фронтера
72;Хоккенхаймринг;Германия;Хоккенхайм
73;Хунгароринг;Венгрия;Будапешт
74;Цезарь Палас;США;Лас-Вегас
75;Цельтвег;Австрия;Цельтвег
76;Шанхай;Китай;Шанхай
77;Эйнтри;Великобритания;Эйнтри
78;Эшторил;Португалия;Эшторил
79;Яс Марина;Объединённые Арабские Эмираты;Абу-Даби
